line_index,surface_simi,embedding_simi,sen_embedding_simi
0,0.22941573373898277,0.41451773,0.39733967
1,0.10482848356230172,0.39389908,0.24512672
2,0.2608745972777532,0.6378431,0.5337042
3,0.2070196676598491,0.5837481,0.32222858
4,0.11952286086201079,0.650264,0.338445
5,0.3311330890469627,0.6776853,0.39345223
6,0.08770580185377984,0.3097503,0.2327372
7,0.14002800830476175,0.51441944,0.3445928
8,0.26726124173385296,0.42945892,0.23853445
9,0.24253562491868588,0.18903826,0.37780303
10,0.4762896718837661,0.59058493,0.50624865
11,0.5185629785055971,0.799647,0.47750798
12,0.31139957742218494,0.6164393,0.50909317
13,0.24514516880253773,0.5766715,0.47384885
14,0.2581988895804944,0.53907955,0.454443
15,0.23354968306663867,0.41808733,0.4296127
16,0.275240941130075,0.57617366,0.28016183
17,0.42443734355622975,0.74762654,0.7494442
18,0.25943726073523155,0.71576184,0.31040165
19,0.3042903095399071,0.82638764,0.50077736
20,0.05698028819735144,0.6154748,0.45673195
21,0.12543630144861606,0.5071701,0.6043549
22,0.302613766151251,0.45492575,0.40161058
23,0.06741998620086966,0.4372289,0.20576221
24,0.32635697575473793,0.63802177,0.60862166
25,0.06362847625709195,0.17781429,0.3175434
26,0.44376015673402947,0.6638857,0.6537028
27,0.09245003261873476,0.57412213,0.33317503
28,0.06900655588661637,0.6105481,0.38973123
29,0.46188021508503385,0.5698064,0.5759701
30,0.15811388288341896,0.5720672,0.33881515
31,0.7029594911865207,0.8522633,0.84424573
32,0.1970276014821354,0.68453723,0.5300974
33,0.13801311177323275,0.42508793,0.23465829
34,0.1421338108027302,0.51721215,0.37864676
35,0.1874999998828125,0.6173399,0.4014778
36,0.43070552141464835,0.63463,0.48286533
37,0.2038588764711541,0.68560207,0.3387208
38,0.20145574092517624,0.58857024,0.5556762
39,0.17213259301662592,0.47663358,0.37469533
40,0.3333333330555555,0.61243886,0.6864567
41,0.22256595350602387,0.5598946,0.5261111
42,0.3872983343707417,0.40292352,0.67381984
43,0.34188172918410864,0.51748633,0.51884663
44,0.3336230623521892,0.62764436,0.56811064
45,0.29169167550393615,0.5656589,0.51789755
46,0.22360679762497895,0.41300577,0.21648693
47,0.3299831643981666,0.76939404,0.47102
48,0.13927150356813373,0.37682718,0.34227982
49,0.3015113443504909,0.5474699,0.37383348
50,0.1488875000217479,0.3647916,0.32233492
51,0.16329931605221187,0.42964658,0.3234803
52,0.15430334984304428,0.5205797,0.33892393
53,0.3202563074392341,0.63675106,0.5563541
54,0.7171371651720647,0.9068262,0.8523375
55,0.1698415550255355,0.47277772,0.34892288
56,0.22750787749312534,0.53753215,0.37511984
57,0.1865009614741497,0.29365173,0.19603157
58,0.40201512569964437,0.6129267,0.46813202
59,0.20573779984363577,0.3999964,0.29187196
60,0.24956709913850467,0.5577933,0.5059737
61,0.17407765580418266,0.1892439,0.33735704
62,0.42163702113356166,0.59630954,0.5470607
63,0.0653720450033263,0.39646852,0.253681
64,0.19360077309062906,0.55783916,0.49451512
65,0.07412493161116505,0.5090784,0.30473042
66,0.27735009785620424,0.59242815,0.47090203
67,0.27735009785620424,0.62143844,0.3673175
68,0.19245008963728266,0.5004407,0.589922
69,0.33028912935609,0.5546485,0.58100873
70,0.14708710128152264,0.5784126,0.5072485
71,0.13363062077764076,0.630081,0.25658453
72,0.08606629650831296,0.48652303,0.31841865
73,0.36313651938150127,0.48444676,0.48944908
74,0.20801257344023014,0.6267559,0.56849957
75,0.2800560166095235,0.61165607,0.56731564
76,0.09449111816302108,0.5960198,0.31113145
77,0.32897584726343426,0.54813504,0.38664564
78,0.20519567031176766,0.6507873,0.34737632
79,0.20064308839576672,0.61782724,0.43733564
80,0.09805806752101509,0.6358335,0.3598334
81,0.22360679758331228,0.54257774,0.45216164
82,0.1885785715300548,0.7414278,0.36316374
83,0.20573779984363577,0.38963905,0.46093398
84,0.1467347963415852,0.5707766,0.35099417
85,0.17251638977606473,0.55505794,0.3397028
86,0.06726727935438237,0.50829345,0.3313776
87,0.11785113012831348,0.5119688,0.20416242
88,0.21884405467041881,0.57613486,0.37850052
89,0.2222222219753086,0.5560748,0.23814759
90,0.37210420353685614,0.47600806,0.6219604
91,0.16366341758770858,0.40377593,0.26967695
92,0.1307440900066526,0.37415555,0.32094955
93,0.10910894505847238,0.441479,0.36892915
94,0.11826247916285149,0.7420801,0.38478297
95,0.3233808332510584,0.5514798,0.5614909
96,0.24209101292100083,0.7876898,0.4748323
97,0.3734080222331773,0.63816494,0.70959544
98,0.31434730653333726,0.33771098,0.4587596
99,0.2169304577010091,0.42454293,0.600013
100,0.2766857853550423,0.41856438,0.34539562
101,0.1348399724017393,0.38152,0.34545183
102,0.35355339038494044,0.6644673,0.5510275
