line_index,surface_simi,embedding_simi,sen_embedding_simi
0,0.12598815759037732,0.26940995,0.1527614
1,0.1944611169395989,0.118117586,0.1772717
2,0.0624999999609375,0.4443296,0.28840357
3,0.12598815759037732,0.44101173,0.22126926
4,0.1414213561373095,0.32399964,0.21450076
5,0.08058229633760296,0.58629864,0.1806794
6,0.06579516945268685,0.33373332,0.06407549
7,0.047140452056880944,0.16911444,0.21592698
8,0.08703882790209133,0.35751504,0.18872805
9,0.09245003261873476,0.42263195,0.24769966
10,0.10660035812098703,0.42326766,0.32394698
11,0.10327955584553111,0.41176972,0.3023848
12,0.15191090498562693,0.5255231,0.39227018
13,0.12126781244463707,0.34559116,0.27324644
14,0.06286946130666746,0.27898973,0.28133827
15,0.15836151643028323,0.5417566,0.52159065
16,0.05832118431796682,0.21819094,0.18414901
17,0.07905694144170948,0.32399645,0.18487819
18,0.10540925528339042,0.37938938,0.22600879
19,0.1587768371234553,0.47853413,0.2643412
20,0.083624200930779,0.3515823,0.19444907
21,0.053838190176831044,0.51541895,0.36496022
22,0.12499999984374999,0.24397862,0.17177136
23,0.06362847625709195,0.39269418,0.2647803
24,0.06666666662222222,0.3830836,0.14219394
25,0.1307440900066526,0.42183658,0.34392062
26,0.09128709283419434,0.17715147,0.23558941
27,0.09805806747293817,0.2287504,0.17790708
28,0.14433756722796198,0.40590551,0.2715078
29,0.07453559922221521,0.59584135,0.342791
30,0.09759000719961522,0.393866,0.3678854
31,0.1081476140286955,0.581162,0.28483006
32,0.07161148735266123,0.37061474,0.24055645
33,0.16666666657407406,0.46079352,0.16465296
34,0.09128709283419434,0.38513827,0.2403572
35,0.0645497223951236,0.35687348,0.23957855
36,0.05555555552469135,0.4916293,0.23755175
37,0.05555555552469135,0.38101915,0.19762233
38,0.1488875000217479,0.31439695,0.45739508
39,0.13245323561878508,0.46939892,0.28682256
40,0.153392997651827,0.6011933,0.29610568
41,0.05407380701434775,0.2830629,0.226868
42,0.09999999995,0.27952972,0.18305928
43,0.04499212704634184,0.42069137,0.36987057
44,0.07698003586232047,0.3566761,0.31412417
45,0.13333333324444444,0.40688813,0.20989484
46,0.11128297675301194,0.39382574,0.3315918
47,0.07001400415238088,0.25529653,0.2517725
48,0.16035674506174033,0.38785896,0.3541168
49,0.14048787167146462,0.3360348,0.3027597
50,0.11128297675301194,0.5706239,0.32640803
51,0.07142857137755101,0.27710128,0.2534798
52,0.1463850108708514,0.50298333,0.3286411
53,0.08703882790209133,0.17945749,0.2771206
54,0.07161148735266123,0.32450175,0.19663978
55,0.10206207256388243,0.5185245,0.40462744
56,0.06917144633876057,0.33625305,0.20985259
57,0.17149858504446963,0.25348184,0.20729035
58,0.12862393880173456,0.5039991,0.36111578
59,0.11547005377125846,0.3643508,0.21579312
60,0.05555555552469135,0.5541444,0.4060668
61,0.15789473675900276,0.26450652,0.42839202
62,0.1587768371234553,0.3275337,0.3334334
63,0.05832118431796682,0.43813664,0.2078554
64,0.07142857137755101,0.54983294,0.34232837
65,0.0710669054013651,0.46044827,0.2895478
66,0.05773502688562923,0.47682595,0.23029433
67,0.1720618003042371,0.3152796,0.27048507
68,0.054232614425252276,0.21257304,0.21429363
69,0.06681531043346324,0.23505047,0.21591093
70,0.05832118431796682,0.50649863,0.28582898
71,0.19360077309062906,0.32897976,0.24932162
72,0.18015093956328207,0.42961034,0.4134683
73,0.10114434743368382,0.44409117,0.44593826
74,0.07647191123170771,0.3690566,0.38330358
75,0.1290994447902472,0.46728015,0.23754612
76,0.13363062086692648,0.45865119,0.24389765
77,0.12403473451228537,0.3290311,0.2038461
78,0.0811107104995918,0.23581648,0.2118262
79,0.06201736725614269,0.42732692,0.22889318
80,0.17996850818536736,0.3241412,0.22729102
81,0.2514778452266698,0.48177737,0.2819112
82,0.07905694144170948,0.4808189,0.25290915
83,0.06428243461200019,0.34599867,0.33005765
84,0.15389675273382575,0.63097376,0.5158012
85,0.2651650427105803,0.45523143,0.32261732
86,0.07537783608762272,0.20149332,0.23759475
87,0.09782319756105681,0.4065647,0.42249152
88,0.22360679764997896,0.5318136,0.36598784
89,0.12361284646361559,0.44240373,0.42303455
90,0.15075567217524544,0.37045428,0.3168118
91,0.23094010754251693,0.4693026,0.4471595
92,0.08606629650831296,0.36149898,0.48199582
93,0.0645497223951236,0.27716482,0.17537525
94,0.24253562488927413,0.38862112,0.2656189
95,0.09513029878564994,0.5750715,0.31121263
96,0.0924500326614698,0.37723362,0.14627835
97,0.09701424996747436,0.29676193,0.4356714
98,0.2383656471977617,0.43406773,0.3295958
99,0.055727821226479374,0.38780162,0.29921558
100,0.1587768371234553,0.41490576,0.4103076
101,0.20203050884241494,0.6170145,0.46981043
102,0.09090909082644627,0.3531136,0.29301828
103,0.06681531043346324,0.4002512,0.22941203
104,0.09567297460122137,0.19730942,0.30713066
105,0.11952286088582031,0.51118773,0.47297105
106,0.07453559919443743,0.31774566,0.17818643
107,0.09231861820609046,0.4699642,0.3305942
108,0.11785113012831348,0.3116266,0.25148815
109,0.08908708055810971,0.18750772,0.29723912
110,0.16116459267520591,0.56229466,0.324759
111,0.13608276339536174,0.7304015,0.346013
112,0.10286889992181789,0.33787513,0.22200681
113,0.10585122474897021,0.28333896,0.45159513
114,0.11180339874998947,0.332423,0.31130978
115,0.20025046962845292,0.5016413,0.24373774
116,0.18463723635536272,0.2437075,0.13962673
117,0.19047619038548752,0.52212185,0.51662666
118,0.19364916718537084,0.46051016,0.32420596
119,0.10206207256388243,0.39707094,0.35344842
120,0.09176629350611944,0.4104177,0.16466212
121,0.11433239002964642,0.17393868,0.23771301
122,0.30316953111159267,0.61614424,0.73357713
123,0.055727821226479374,0.2831063,0.26188517
124,0.1545078607078058,0.31740218,0.4082449
125,0.17677669519247022,0.38582385,0.28367043
126,0.27277236264618093,0.5644951,0.56554633
127,0.15990053718148053,0.42179212,0.2828971
128,0.08770580185377984,0.32450727,0.14563848
129,0.06201736725614269,0.2672782,0.29275364
130,0.0766964988259135,0.25021562,0.2073365
131,0.09304842099655704,0.52059966,0.4212256
132,0.15389675273382575,0.5582944,0.28349918
133,0.05170876897276395,0.4384551,0.3232395
134,0.05455447252923619,0.24420856,0.27945116
135,0.10540925522783486,0.40793633,0.23819482
136,0.10283867549340649,0.47762972,0.26430503
137,0.07658395807742284,0.4048364,0.25933054
138,0.17541160370755968,0.4042284,0.3396646
139,0.07453559919443743,0.48619056,0.3864877
140,0.07453559919443743,0.24601747,0.23809732
141,0.0,0.3616661,0.28678456
142,0.12524485813859854,0.3000081,0.14573468
143,0.12126781244463707,0.46955553,0.33600923
144,0.10910894505847238,0.18984494,0.24925357
145,0.07453559919443743,0.38877946,0.22828266
146,0.07453559919443743,0.25737646,0.22982931
147,0.1290994447902472,0.5881254,0.30585474
